p,1
b,11
t,301
d,311
ʈ,501
ɖ,511
c,901
ɟ,911
k͡p,a01
ɡ͡b,a11
k,b01
g,b11
q,c01
ɢ,c11
ʡ,e01
ʔ,f01
ɓ,1011
ɗ̪,1211
ɗ,1311
ʄ,1911
ɠ,1b11
ʛ,1c11
m,3011
ɱ,3111
n̪,3211
n,3311
ɳ,3511
ɲ,3911
ŋ͡m,3a11
ŋ,3b11
ɴ,3c11
ʙ,4011
r̥,4301
r,4311
ʀ,4c11
ⱱ̟,5011
ⱱ,5111
ɾ,5311
ɽ,5511
ɺ,6311
ɸ,7001
β,7011
f,7101
v,7111
θ,7201
ð,7211
s,7301
z,7311
ʃ,7401
ʒ,7411
ʂ,7501
ʐ,7511
ɧ,7701
ɕ,7801
ʑ,7811
ç,7901
ʝ,7911
x,7b01
ɣ,7b11
χ,7c01
ʁ,7c11
ħ,7d01
ʕ,7d11
ʜ,7e01
ʢ,7e11
h,7f01
ɦ,7f11
ɬ,8301
ɮ,8311
ꞎ,8511
t͡s,b301
d͡z,b311
t͡ʃ,b401
d͡ʒ,b411
ʈ͡ʂ,b501
ɖ͡ʐ,b511
t͡ɕ,b801
d͡ʑ,b811
β̞,c011
ʋ̥,c101
ʋ,c111
ɹ,c311
ɻ,c511
ɥ̊,c601
ɥ,c611
j,c911
ʍ,ca01
w,ca11
ɰ,cb11
l,d311
ɭ,d511
ȴ,d811
ʎ,d911
ʟ,db11
ʘ,e001
ǀ,e201
ǃ,e301
ǂ,e401
ǁ,f301
ɓ̥,11001
m̥,13001
ɱ̊,13101
n̪̊,13201
n̥,13301
ɳ̊,13501
β̞̊,1c001
ɹ̥,1c301
ɻ̊,1c501
l̥,1d301
ɲ̟,63811
p,100001
p̪,190101
b̪,190111
t̪,190301
d̪,190311
ð̞,19c211
pʼ,1d2001
t̪ʼ,1d2201
tʼ,1d2301
ʈʼ,1d2501
cʼ,1d2901
kʼ,1d2b01
qʼ,1d2c01
sʼ,1d9301
ʃʼ,1d9401
ɬʼ,1da301
a,2
ɪ,12
ɛ,42
æ,52
a,62
ə,132
ɜ,142
ɐ,152
ä,162
ɤ̞,232
ʌ,242
ɑ,262
ʏ,1012
œ,1042
ɶ,1062
ɞ,1142
ʊ,1212
o̞,1232
ɔ,1242
ɒ,1262
i,10002
e,10022
e̞,10032
ɨ,10102
ɘ,10122
ɯ,10202
ɤ,10222
y,11002
ø,11022
ø̞,11032
ʉ,11102
ɵ,11122
u,11202
o,11222
